Acción,Fecha Base,Fecha Proyección (+1 días hábiles),Ganador_Absoluto_Histórico,Rango_Precisión_Histórico,Pred_Meta_Global,Pred_Votación,Voto_Estándar,Voto_Cópulas,Voto_Todo_Portafolio,Voto_LSTM,Recomendación,Alerta_Divergencia,Sentimiento_Global,Volatilidad Histórica Anualizada (%),Volatilidad 30D Anualizada (%),Oscilación Diaria Promedio (ATR %),Nivel_Volatilidad
ARM,2026-08-18,2026-08-19,Red Base -> LSTM,>= 90%,Baja (-),Sube (+),Sube (+),Sube (+),Sube (+),Baja (-),VENDER 🔴,⚠️ ALERT: Mayoría Disiente (4/6),Neutro ⚪,72.1,88.92,5.17,Alta 🔴 (72.1%)
ANET,2026-08-18,2026-08-19,Red Base -> LSTM,>= 90%,Baja (-),Baja (-),Baja (-),Baja (-),Sube (+),Baja (-),VENDER 🔴,🟢 Consenso,Optimista 🟢,58.88,59.35,4.11,Media 🟡 (58.9%)
VRT,2026-08-18,2026-08-19,Red Base -> LSTM,>= 90%,Baja (-),Sube (+),Sube (+),Sube (+),Baja (-),Baja (-),VENDER 🔴,🟢 Consenso,Neutro ⚪,71.66,78.17,5.23,Alta 🔴 (71.7%)
SNPS,2026-08-18,2026-08-19,Red Base -> LSTM,>= 90%,Baja (-),Sube (+),Sube (+),Sube (+),Sube (+),Baja (-),VENDER 🔴,⚠️ ALERT: Mayoría Disiente (4/6),Neutro ⚪,55.08,39.68,3.37,Media 🟡 (55.1%)
PATH,2026-08-18,2026-08-19,Red Base -> LSTM,>= 90%,Baja (-),Sube (+),Sube (+),Sube (+),Sube (+),Baja (-),VENDER 🔴,⚠️ ALERT: Mayoría Disiente (4/6),Neutro ⚪,60.21,68.11,4.92,Alta 🔴 (60.2%)
OMAB,2026-08-18,2026-08-19,Red Base -> LSTM,>= 90%,Baja (-),Baja (-),Baja (-),Baja (-),Sube (+),Baja (-),VENDER 🔴,🟢 Consenso,Neutro ⚪,32.24,25.97,3.05,Baja 🟢 (32.2%)
MFRISCOA-1.MX,2026-08-18,2026-08-19,Red Base -> LSTM,>= 90%,Baja (-),Sube (+),Sube (+),Sube (+),Sube (+),Sube (+),COMPRAR 🟢,🟢 Consenso,Sin Datos ❓,64.67,56.12,4.41,Alta 🔴 (64.7%)
GTLB,2026-08-18,2026-08-19,Red Base -> LSTM,>= 90%,Baja (-),Baja (-),Baja (-),Sube (+),Baja (-),Sube (+),COMPRAR 🟢,⚠️ ALERT: Mayoría Disiente (4/6),Optimista 🟢,59.91,59.39,4.87,Media 🟡 (59.9%)
GOOGL,2026-08-18,2026-08-19,Red Base -> LSTM,>= 90%,Baja (-),Sube (+),Sube (+),Baja (-),Sube (+),Sube (+),COMPRAR 🟢,🟢 Consenso,Optimista 🟢,32.76,43.49,2.53,Baja 🟢 (32.8%)
GAPB.MX,2026-08-18,2026-08-19,Red Base -> LSTM,>= 90%,Baja (-),Sube (+),Sube (+),Sube (+),Sube (+),Sube (+),COMPRAR 🟢,🟢 Consenso,Optimista 🟢,29.99,25.4,3.29,Baja 🟢 (30.0%)
BBAI,2026-08-18,2026-08-19,Red Base -> LSTM,>= 90%,Baja (-),Baja (-),Baja (-),Sube (+),Sube (+),Baja (-),VENDER 🔴,🟢 Consenso,Optimista 🟢,107.06,65.53,8.76,Alta 🔴 (107.1%)
AXP,2026-08-18,2026-08-19,Red Base -> LSTM,>= 90%,Baja (-),Sube (+),Sube (+),Baja (-),Sube (+),Sube (+),COMPRAR 🟢,🟢 Consenso,Neutro ⚪,30.26,27.43,2.25,Baja 🟢 (30.3%)
AUTLANB.MX,2026-08-18,2026-08-19,Red Base -> LSTM,80% - 89.9%,Baja (-),Sube (+),Sube (+),Baja (-),Sube (+),Sube (+),COMPRAR 🟢,🟢 Consenso,Sin Datos ❓,32.66,19.47,2.59,Baja 🟢 (32.7%)
CHDRAUIB.MX,2026-08-18,2026-08-19,Red Base -> LSTM,80% - 89.9%,Baja (-),Baja (-),Baja (-),Baja (-),Sube (+),Sube (+),COMPRAR 🟢,⚠️ ALERT: Mayoría Disiente (4/6),Neutro ⚪,23.85,15.22,2.47,Baja 🟢 (23.9%)
BABA,2026-08-18,2026-08-19,Red Base -> Estándar,80% - 89.9%,Baja (-),Baja (-),Baja (-),Baja (-),Baja (-),Sube (+),VENDER 🔴,🟢 Consenso,Neutro ⚪,46.59,46.27,2.71,Media 🟡 (46.6%)
RGTI,2026-08-18,2026-08-19,Red Base -> LSTM,80% - 89.9%,Baja (-),Baja (-),Baja (-),Baja (-),Baja (-),Baja (-),VENDER 🔴,🟢 Consenso,Neutro ⚪,128.95,87.85,9.36,Alta 🔴 (128.9%)
MCO,2026-08-18,2026-08-19,Red Base -> LSTM,80% - 89.9%,Baja (-),Baja (-),Baja (-),Baja (-),Sube (+),Sube (+),COMPRAR 🟢,⚠️ ALERT: Mayoría Disiente (4/6),Neutro ⚪,28.84,26.12,2.23,Baja 🟢 (28.8%)
FRCOY,2026-08-18,2026-08-19,Red Base -> Todo Portafolio,70% - 79.9%,Baja (-),Sube (+),Sube (+),Sube (+),Baja (-),Sube (+),VENDER 🔴,⚠️ ALERT: Mayoría Disiente (4/6),Optimista 🟢,34.18,39.35,2.69,Baja 🟢 (34.2%)
GCC,2026-08-18,2026-08-19,Empate c/ Red Base -> Estándar,70% - 79.9%,Baja (-),Sube (+),Sube (+),Sube (+),Baja (-),Baja (-),COMPRAR 🟢,🟢 Consenso,Pesimista 🔴,16.37,13.27,0.85,Baja 🟢 (16.4%)
GMEXICOB.MX,2026-08-18,2026-08-19,Red Base -> LSTM,70% - 79.9%,Baja (-),Baja (-),Baja (-),Baja (-),Sube (+),Baja (-),VENDER 🔴,🟢 Consenso,Neutro ⚪,36.11,29.04,3.29,Media 🟡 (36.1%)
MA,2026-08-18,2026-08-19,Empate c/ Red Base -> Todo Portafolio,70% - 79.9%,Baja (-),Sube (+),Sube (+),Sube (+),Baja (-),Sube (+),VENDER 🔴,⚠️ ALERT: Mayoría Disiente (4/6),Neutro ⚪,23.52,22.32,1.93,Baja 🟢 (23.5%)
ZS,2026-08-18,2026-08-19,Red Base -> LSTM,70% - 79.9%,Baja (-),Baja (-),Baja (-),Sube (+),Baja (-),Sube (+),COMPRAR 🟢,⚠️ ALERT: Mayoría Disiente (4/6),Neutro ⚪,57.38,49.6,3.83,Media 🟡 (57.4%)
AC.MX,2026-08-18,2026-08-19,Red Base -> Todo Portafolio,70% - 79.9%,Baja (-),Sube (+),Sube (+),Sube (+),Sube (+),Sube (+),COMPRAR 🟢,🟢 Consenso,Neutro ⚪,24.0,20.39,2.59,Baja 🟢 (24.0%)
SPGI,2026-08-18,2026-08-19,Meta Global RL,60% - 69.9%,Baja (-),Sube (+),Sube (+),Sube (+),Sube (+),Sube (+),VENDER 🔴,⚠️ ALERT: Mayoría Disiente (5/6),Neutro ⚪,29.03,28.41,2.14,Baja 🟢 (29.0%)
V,2026-08-18,2026-08-19,Red Base -> Cópulas,60% - 69.9%,Baja (-),Sube (+),Sube (+),Sube (+),Sube (+),Sube (+),COMPRAR 🟢,🟢 Consenso,Neutro ⚪,23.0,19.46,1.88,Baja 🟢 (23.0%)
DAL,2026-08-18,2026-08-19,Red Base -> LSTM,50% - 59.9%,Baja (-),Baja (-),Baja (-),Baja (-),Sube (+),Sube (+),Sin recomendación (< 60% Precisión),⚠️ ALERT: Mayoría Disiente (4/6),Neutro ⚪,46.61,32.92,3.44,Media 🟡 (46.6%)
