Acción,Fecha Base,Fecha Proyección (+1 días hábiles),Ganador_Absoluto_Histórico,Rango_Precisión_Histórico,Pred_Meta_Global,Pred_Votación,Voto_Estándar,Voto_Cópulas,Voto_Todo_Portafolio,Voto_LSTM,Recomendación,Alerta_Divergencia,Sentimiento_Global,Volatilidad Histórica Anualizada (%),Volatilidad 30D Anualizada (%),Oscilación Diaria Promedio (ATR %),Nivel_Volatilidad
ASUR,2026-08-18,2026-08-19,Red Base -> LSTM,>= 90%,Baja (-),Sube (+),Sube (+),Baja (-),Sube (+),Sube (+),COMPRAR 🟢,🟢 Consenso,Neutro ⚪,47.35,49.56,4.55,Media 🟡 (47.4%)
Uber,2026-08-18,2026-08-19,Red Base -> LSTM,>= 90%,Baja (-),Sube (+),Sube (+),Sube (+),Sube (+),Sube (+),COMPRAR 🟢,🟢 Consenso,Neutro ⚪,37.51,40.86,3.18,Media 🟡 (37.5%)
CEMEXCPO.MX,2026-08-18,2026-08-19,Red Base -> LSTM,>= 90%,Baja (-),Sube (+),Sube (+),Sube (+),Baja (-),Baja (-),VENDER 🔴,🟢 Consenso,Neutro ⚪,33.61,25.31,2.88,Baja 🟢 (33.6%)
BOLSAA.MX,2026-08-18,2026-08-19,Red Base -> LSTM,>= 90%,Baja (-),Sube (+),Sube (+),Sube (+),Sube (+),Sube (+),COMPRAR 🟢,🟢 Consenso,Optimista 🟢,28.74,26.99,2.84,Baja 🟢 (28.7%)
BBAJIOO.MX,2026-08-18,2026-08-19,Red Base -> LSTM,>= 90%,Baja (-),Baja (-),Baja (-),Baja (-),Sube (+),Baja (-),VENDER 🔴,🟢 Consenso,Neutro ⚪,30.88,24.39,3.06,Baja 🟢 (30.9%)
META,2026-08-18,2026-08-19,Red Base -> LSTM,>= 90%,Baja (-),Sube (+),Sube (+),Sube (+),Sube (+),Baja (-),VENDER 🔴,⚠️ ALERT: Mayoría Disiente (4/6),Neutro ⚪,40.05,48.71,2.73,Media 🟡 (40.0%)
MELI,2026-08-18,2026-08-19,Red Base -> LSTM,>= 90%,Baja (-),Sube (+),Sube (+),Sube (+),Baja (-),Baja (-),VENDER 🔴,🟢 Consenso,Optimista 🟢,39.19,34.85,3.24,Media 🟡 (39.2%)
PE&OLES.MX,2026-08-18,2026-08-19,Red Base -> LSTM,>= 90%,Baja (-),Baja (-),Baja (-),Baja (-),Sube (+),Baja (-),VENDER 🔴,🟢 Consenso,Sin Datos ❓,53.38,35.37,4.76,Media 🟡 (53.4%)
AXTELCPO.MX,2026-08-18,2026-08-19,Red Base -> LSTM,>= 90%,Baja (-),Sube (+),Sube (+),Sube (+),Sube (+),Sube (+),COMPRAR 🟢,🟢 Consenso,Optimista 🟢,42.53,32.85,4.51,Media 🟡 (42.5%)
GFNORTEO.MX,2026-08-18,2026-08-19,Red Base -> LSTM,>= 90%,Baja (-),Sube (+),Sube (+),Sube (+),Sube (+),Sube (+),COMPRAR 🟢,🟢 Consenso,Optimista 🟢,28.46,25.55,2.67,Baja 🟢 (28.5%)
FRSH,2026-08-18,2026-08-19,Red Base -> LSTM,>= 90%,Baja (-),Sube (+),Sube (+),Sube (+),Sube (+),Sube (+),COMPRAR 🟢,🟢 Consenso,Optimista 🟢,47.57,53.31,3.99,Media 🟡 (47.6%)
CUERVO.MX,2026-08-18,2026-08-19,Red Base -> LSTM,>= 90%,Baja (-),Sube (+),Sube (+),Sube (+),Baja (-),Baja (-),VENDER 🔴,🟢 Consenso,Neutro ⚪,35.8,27.34,3.63,Media 🟡 (35.8%)
BIMBOA.MX,2026-08-18,2026-08-19,Red Base -> LSTM,>= 90%,Baja (-),Sube (+),Sube (+),Sube (+),Baja (-),Sube (+),COMPRAR 🟢,🟢 Consenso,Optimista 🟢,29.79,20.74,2.88,Baja 🟢 (29.8%)
ALPEKA.MX,2026-08-18,2026-08-19,Red Base -> LSTM,>= 90%,Baja (-),Sube (+),Sube (+),Sube (+),Baja (-),Sube (+),COMPRAR 🟢,🟢 Consenso,Optimista 🟢,40.57,20.34,3.9,Media 🟡 (40.6%)
ORBIA.MX,2026-08-18,2026-08-19,Red Base -> LSTM,>= 90%,Baja (-),Sube (+),Sube (+),Baja (-),Baja (-),Sube (+),COMPRAR 🟢,🟢 Consenso,Optimista 🟢,39.32,21.97,3.92,Media 🟡 (39.3%)
IONQ,2026-08-18,2026-08-19,Red Base -> LSTM,>= 90%,Baja (-),Baja (-),Baja (-),Sube (+),Baja (-),Baja (-),VENDER 🔴,🟢 Consenso,Optimista 🟢,106.92,84.28,8.36,Alta 🔴 (106.9%)
