Acción,Fecha Base,Fecha Proyección (+7 días hábiles),Ganador_Absoluto_Histórico,Rango_Precisión_Histórico,Pred_Meta_Global,Pred_Votación,Voto_Estándar,Voto_Cópulas,Voto_Todo_Portafolio,Voto_LSTM,Recomendación,Alerta_Divergencia,Sentimiento_Global,Volatilidad Histórica Anualizada (%),Volatilidad 30D Anualizada (%),Oscilación Diaria Promedio (ATR %),Nivel_Volatilidad
GMEXICOB.MX,2026-08-12,2026-08-21,Red Base -> LSTM,60% - 69.9%,Baja (-),Sube (+),Sube (+),Sube (+),Baja (-),Sube (+),COMPRAR 🟢,🟢 Consenso,Neutro ⚪,36.2,27.62,3.3,Media 🟡 (36.2%)
BOLSAA.MX,2026-08-12,2026-08-21,Red Base -> Todo Portafolio,60% - 69.9%,Baja (-),Sube (+),Sube (+),Sube (+),Sube (+),Sube (+),COMPRAR 🟢,🟢 Consenso,Optimista 🟢,28.79,27.48,2.85,Baja 🟢 (28.8%)
PE&OLES.MX,2026-08-12,2026-08-21,Red Base -> Cópulas,60% - 69.9%,Baja (-),Sube (+),Sube (+),Sube (+),Baja (-),Baja (-),COMPRAR 🟢,🟢 Consenso,Sin Datos ❓,53.5,32.21,4.79,Media 🟡 (53.5%)
CHDRAUIB.MX,2026-08-12,2026-08-21,"Red Base -> Cópulas, Todo Portafolio",60% - 69.9%,Baja (-),Sube (+),Sube (+),Baja (-),Sube (+),Sube (+),VENDER 🔴,⚠️ ALERT: Mayoría Disiente (4/6),Neutro ⚪,23.87,13.95,2.48,Baja 🟢 (23.9%)
OMAB,2026-08-12,2026-08-21,Red Base -> LSTM,50% - 59.9%,Baja (-),Baja (-),Baja (-),Baja (-),Sube (+),Sube (+),Sin recomendación (< 60% Precisión),⚠️ ALERT: Mayoría Disiente (4/6),Neutro ⚪,32.17,27.52,3.05,Baja 🟢 (32.2%)
ASUR,2026-08-12,2026-08-21,"Empate c/ Red Base -> Cópulas, Todo Portafolio",50% - 59.9%,Baja (-),Sube (+),Sube (+),Sube (+),Baja (-),Sube (+),Sin recomendación (< 60% Precisión),🟢 Consenso,Neutro ⚪,47.42,48.77,4.56,Media 🟡 (47.4%)
BBAJIOO.MX,2026-08-12,2026-08-21,Empate c/ Red Base -> Estándar,50% - 59.9%,Baja (-),Sube (+),Sube (+),Sube (+),Baja (-),Sube (+),Sin recomendación (< 60% Precisión),🟢 Consenso,Neutro ⚪,31.0,24.29,3.07,Baja 🟢 (31.0%)
AXTELCPO.MX,2026-08-12,2026-08-21,Red Base -> Cópulas,50% - 59.9%,Baja (-),Sube (+),Sube (+),Sube (+),Sube (+),Sube (+),Sin recomendación (< 60% Precisión),🟢 Consenso,Optimista 🟢,42.3,27.13,4.5,Media 🟡 (42.3%)
ALPEKA.MX,2026-08-12,2026-08-21,Red Base -> Todo Portafolio,50% - 59.9%,Baja (-),Sube (+),Sube (+),Sube (+),Baja (-),Baja (-),Sin recomendación (< 60% Precisión),🟢 Consenso,Optimista 🟢,40.62,15.95,3.92,Media 🟡 (40.6%)
V,2026-08-12,2026-08-21,"Red Base -> Estándar, LSTM",50% - 59.9%,Baja (-),Baja (-),Baja (-),Baja (-),Sube (+),Sube (+),Sin recomendación (< 60% Precisión),🟢 Consenso,Neutro ⚪,23.02,21.78,1.88,Baja 🟢 (23.0%)
SPGI,2026-08-12,2026-08-21,Meta Global RL,50% - 59.9%,Baja (-),Sube (+),Sube (+),Sube (+),Sube (+),Sube (+),Sin recomendación (< 60% Precisión),⚠️ ALERT: Mayoría Disiente (5/6),Neutro ⚪,28.99,38.21,2.13,Baja 🟢 (29.0%)
RGTI,2026-08-12,2026-08-21,Red Base -> LSTM,50% - 59.9%,Baja (-),Baja (-),Baja (-),Baja (-),Baja (-),Baja (-),Sin recomendación (< 60% Precisión),🟢 Consenso,Neutro ⚪,129.52,90.98,9.41,Alta 🔴 (129.5%)
MA,2026-08-12,2026-08-21,"Empate c/ Red Base -> Estándar, LSTM",50% - 59.9%,Baja (-),Sube (+),Sube (+),Sube (+),Sube (+),Sube (+),Sin recomendación (< 60% Precisión),🟢 Consenso,Neutro ⚪,23.53,23.5,1.93,Baja 🟢 (23.5%)
GTLB,2026-08-12,2026-08-21,Red Base -> LSTM,50% - 59.9%,Baja (-),Sube (+),Sube (+),Sube (+),Baja (-),Sube (+),Sin recomendación (< 60% Precisión),🟢 Consenso,Neutro ⚪,59.84,54.86,4.86,Media 🟡 (59.8%)
FRSH,2026-08-12,2026-08-21,Red Base -> LSTM,50% - 59.9%,Baja (-),Sube (+),Sube (+),Sube (+),Sube (+),Baja (-),Sin recomendación (< 60% Precisión),⚠️ ALERT: Mayoría Disiente (4/6),Neutro ⚪,47.15,47.38,3.98,Media 🟡 (47.1%)
AXP,2026-08-12,2026-08-21,"Empate c/ Red Base -> Estándar, LSTM",50% - 59.9%,Baja (-),Sube (+),Sube (+),Sube (+),Sube (+),Sube (+),Sin recomendación (< 60% Precisión),🟢 Consenso,Optimista 🟢,30.36,29.11,2.26,Baja 🟢 (30.4%)
GFNORTEO.MX,2026-08-12,2026-08-21,Red Base -> Todo Portafolio,50% - 59.9%,Baja (-),Sube (+),Baja (-),Sube (+),Sube (+),Sube (+),Sin recomendación (< 60% Precisión),🟢 Consenso,Optimista 🟢,28.54,25.9,2.69,Baja 🟢 (28.5%)
GAPB.MX,2026-08-12,2026-08-21,Red Base -> Cópulas,50% - 59.9%,Baja (-),Sube (+),Baja (-),Sube (+),Sube (+),Sube (+),Sin recomendación (< 60% Precisión),🟢 Consenso,Optimista 🟢,30.06,26.21,3.3,Baja 🟢 (30.1%)
SNPS,2026-08-12,2026-08-21,Meta Global RL,50% - 59.9%,Baja (-),Sube (+),Sube (+),Baja (-),Baja (-),Sube (+),Sin recomendación (< 60% Precisión),🟢 Consenso,Neutro ⚪,55.27,40.49,3.37,Media 🟡 (55.3%)
ARM,2026-08-12,2026-08-21,Empate c/ Red Base -> Cópulas,50% - 59.9%,Baja (-),Sube (+),Sube (+),Baja (-),Sube (+),Sube (+),Sin recomendación (< 60% Precisión),⚠️ ALERT: Mayoría Disiente (4/6),Optimista 🟢,72.18,91.26,5.17,Alta 🔴 (72.2%)
FRCOY,2026-08-12,2026-08-21,"Red Base -> Cópulas, LSTM",50% - 59.9%,Baja (-),Sube (+),Sube (+),Baja (-),Sube (+),Sube (+),Sin recomendación (< 60% Precisión),⚠️ ALERT: Mayoría Disiente (4/6),Optimista 🟢,34.23,41.87,2.7,Baja 🟢 (34.2%)
