Acción,Fecha Base,Fecha Proyección (+22 días hábiles),Ganador_Absoluto_Histórico,Rango_Precisión_Histórico,Pred_Meta_Global,Pred_Votación,Voto_Estándar,Voto_Cópulas,Voto_Todo_Portafolio,Voto_LSTM,Recomendación,Alerta_Divergencia,Sentimiento_Global,Volatilidad Histórica Anualizada (%),Volatilidad 30D Anualizada (%),Oscilación Diaria Promedio (ATR %),Nivel_Volatilidad
IONQ,2026-08-18,2026-09-17,Meta Global RL,80% - 89.9%,Baja (-),Sube (+),Sube (+),Sube (+),Baja (-),Sube (+),VENDER 🔴,⚠️ ALERT: Mayoría Disiente (4/6),Optimista 🟢,106.92,84.28,8.36,Alta 🔴 (106.9%)
ZS,2026-08-18,2026-09-17,Red Base -> Todo Portafolio,70% - 79.9%,Baja (-),Sube (+),Sube (+),Sube (+),Baja (-),Sube (+),VENDER 🔴,⚠️ ALERT: Mayoría Disiente (4/6),Neutro ⚪,57.38,49.6,3.83,Media 🟡 (57.4%)
ORBIA.MX,2026-08-18,2026-09-17,Red Base -> LSTM,70% - 79.9%,Baja (-),Sube (+),Sube (+),Sube (+),Baja (-),Sube (+),COMPRAR 🟢,🟢 Consenso,Optimista 🟢,39.32,21.97,3.92,Media 🟡 (39.3%)
GCC,2026-08-18,2026-09-17,Red Base -> Cópulas,70% - 79.9%,Baja (-),Baja (-),Baja (-),Baja (-),Sube (+),Baja (-),VENDER 🔴,🟢 Consenso,Pesimista 🔴,16.37,13.27,0.85,Baja 🟢 (16.4%)
MELI,2026-08-18,2026-09-17,Empate c/ Red Base -> Estándar,70% - 79.9%,Baja (-),Sube (+),Sube (+),Baja (-),Baja (-),Sube (+),COMPRAR 🟢,🟢 Consenso,Optimista 🟢,39.19,34.85,3.24,Media 🟡 (39.2%)
ANET,2026-08-18,2026-09-17,Red Base -> Cópulas,70% - 79.9%,Baja (-),Sube (+),Sube (+),Sube (+),Baja (-),Sube (+),COMPRAR 🟢,🟢 Consenso,Optimista 🟢,58.88,59.35,4.11,Media 🟡 (58.9%)
BBAI,2026-08-18,2026-09-17,Meta Global RL,60% - 69.9%,Baja (-),Baja (-),Baja (-),Baja (-),Sube (+),Sube (+),VENDER 🔴,🟢 Consenso,Optimista 🟢,107.06,65.53,8.76,Alta 🔴 (107.1%)
GAPB.MX,2026-08-18,2026-09-17,Votación Mayoritaria,60% - 69.9%,Baja (-),Sube (+),Sube (+),Sube (+),Sube (+),Baja (-),COMPRAR 🟢,🟢 Consenso,Optimista 🟢,29.99,25.4,3.29,Baja 🟢 (30.0%)
CHDRAUIB.MX,2026-08-18,2026-09-17,Red Base -> Cópulas,60% - 69.9%,Baja (-),Sube (+),Sube (+),Baja (-),Sube (+),Sube (+),VENDER 🔴,⚠️ ALERT: Mayoría Disiente (4/6),Neutro ⚪,23.85,15.22,2.47,Baja 🟢 (23.9%)
BOLSAA.MX,2026-08-18,2026-09-17,Empate c/ Red Base -> LSTM,60% - 69.9%,Baja (-),Sube (+),Sube (+),Sube (+),Baja (-),Baja (-),VENDER 🔴,🟢 Consenso,Optimista 🟢,28.74,26.99,2.84,Baja 🟢 (28.7%)
BIMBOA.MX,2026-08-18,2026-09-17,"Red Base -> Todo Portafolio, LSTM",60% - 69.9%,Baja (-),Baja (-),Baja (-),Baja (-),Baja (-),Sube (+),VENDER 🔴,🟢 Consenso,Optimista 🟢,29.79,20.74,2.88,Baja 🟢 (29.8%)
VRT,2026-08-18,2026-09-17,Red Base -> Estándar,60% - 69.9%,Baja (-),Sube (+),Sube (+),Sube (+),Sube (+),Sube (+),COMPRAR 🟢,🟢 Consenso,Neutro ⚪,71.66,78.17,5.23,Alta 🔴 (71.7%)
RGTI,2026-08-18,2026-09-17,"Empate c/ Red Base -> Todo Portafolio, LSTM",60% - 69.9%,Baja (-),Baja (-),Baja (-),Sube (+),Baja (-),Baja (-),VENDER 🔴,🟢 Consenso,Neutro ⚪,128.95,87.85,9.36,Alta 🔴 (128.9%)
PATH,2026-08-18,2026-09-17,Red Base -> Cópulas,60% - 69.9%,Baja (-),Baja (-),Baja (-),Sube (+),Baja (-),Sube (+),COMPRAR 🟢,⚠️ ALERT: Mayoría Disiente (4/6),Neutro ⚪,60.21,68.11,4.92,Alta 🔴 (60.2%)
