Acción,Fecha Base,Fecha Proyección (+22 días hábiles),Ganador_Absoluto_Histórico,Rango_Precisión_Histórico,Pred_Meta_Global,Pred_Votación,Voto_Estándar,Voto_Cópulas,Voto_Todo_Portafolio,Voto_LSTM,Recomendación,Alerta_Divergencia,Sentimiento_Global,Volatilidad Histórica Anualizada (%),Volatilidad 30D Anualizada (%),Oscilación Diaria Promedio (ATR %),Nivel_Volatilidad
GOOGL,2026-08-18,2026-09-17,Empate c/ Red Base -> Todo Portafolio,60% - 69.9%,Baja (-),Sube (+),Sube (+),Sube (+),Baja (-),Sube (+),VENDER 🔴,⚠️ ALERT: Mayoría Disiente (4/6),Optimista 🟢,32.76,43.49,2.53,Baja 🟢 (32.8%)
FRCOY,2026-08-18,2026-09-17,Red Base -> Todo Portafolio,60% - 69.9%,Baja (-),Sube (+),Sube (+),Sube (+),Sube (+),Baja (-),COMPRAR 🟢,🟢 Consenso,Optimista 🟢,34.18,39.35,2.69,Baja 🟢 (34.2%)
SNPS,2026-08-18,2026-09-17,Votación Mayoritaria,60% - 69.9%,Baja (-),Sube (+),Sube (+),Sube (+),Sube (+),Baja (-),COMPRAR 🟢,🟢 Consenso,Neutro ⚪,55.08,39.68,3.37,Media 🟡 (55.1%)
BABA,2026-08-18,2026-09-17,Red Base -> Todo Portafolio,60% - 69.9%,Baja (-),Baja (-),Baja (-),Sube (+),Baja (-),Baja (-),VENDER 🔴,🟢 Consenso,Neutro ⚪,46.59,46.27,2.71,Media 🟡 (46.6%)
AC.MX,2026-08-18,2026-09-17,Meta Global RL,60% - 69.9%,Baja (-),Sube (+),Sube (+),Baja (-),Sube (+),Sube (+),VENDER 🔴,⚠️ ALERT: Mayoría Disiente (4/6),Neutro ⚪,24.0,20.39,2.59,Baja 🟢 (24.0%)
AXP,2026-08-18,2026-09-17,Red Base -> Estándar,60% - 69.9%,Baja (-),Sube (+),Sube (+),Baja (-),Sube (+),Baja (-),COMPRAR 🟢,🟢 Consenso,Neutro ⚪,30.26,27.43,2.25,Baja 🟢 (30.3%)
FRSH,2026-08-18,2026-09-17,"Empate c/ Red Base -> Estándar, Cópulas",60% - 69.9%,Baja (-),Baja (-),Baja (-),Sube (+),Baja (-),Baja (-),VENDER 🔴,🟢 Consenso,Optimista 🟢,47.57,53.31,3.99,Media 🟡 (47.6%)
META,2026-08-18,2026-09-17,Red Base -> Todo Portafolio,60% - 69.9%,Baja (-),Baja (-),Baja (-),Sube (+),Sube (+),Baja (-),COMPRAR 🟢,⚠️ ALERT: Mayoría Disiente (4/6),Neutro ⚪,40.05,48.71,2.73,Media 🟡 (40.0%)
MCO,2026-08-18,2026-09-17,"Empate c/ Red Base -> Estándar, LSTM",60% - 69.9%,Baja (-),Sube (+),Sube (+),Sube (+),Sube (+),Sube (+),COMPRAR 🟢,🟢 Consenso,Neutro ⚪,28.84,26.12,2.23,Baja 🟢 (28.8%)
ALPEKA.MX,2026-08-18,2026-09-17,Red Base -> LSTM,60% - 69.9%,Baja (-),Baja (-),Baja (-),Baja (-),Sube (+),Sube (+),COMPRAR 🟢,⚠️ ALERT: Mayoría Disiente (4/6),Optimista 🟢,40.57,20.34,3.9,Media 🟡 (40.6%)
AUTLANB.MX,2026-08-18,2026-09-17,"Empate c/ Red Base -> Cópulas, Todo Portafolio",60% - 69.9%,Baja (-),Sube (+),Sube (+),Sube (+),Baja (-),Sube (+),COMPRAR 🟢,🟢 Consenso,Sin Datos ❓,32.66,19.47,2.59,Baja 🟢 (32.7%)
CEMEXCPO.MX,2026-08-18,2026-09-17,"Empate c/ Red Base -> Estándar, Cópulas, LSTM",60% - 69.9%,Baja (-),Sube (+),Sube (+),Sube (+),Baja (-),Sube (+),COMPRAR 🟢,🟢 Consenso,Neutro ⚪,33.61,25.31,2.88,Baja 🟢 (33.6%)
ARM,2026-08-18,2026-09-17,Meta Global RL,60% - 69.9%,Baja (-),Sube (+),Sube (+),Baja (-),Sube (+),Sube (+),VENDER 🔴,⚠️ ALERT: Mayoría Disiente (4/6),Neutro ⚪,72.1,88.92,5.17,Alta 🔴 (72.1%)
BBAJIOO.MX,2026-08-18,2026-09-17,Empate c/ Red Base -> Cópulas,50% - 59.9%,Baja (-),Sube (+),Sube (+),Sube (+),Sube (+),Sube (+),Sin recomendación (< 60% Precisión),🟢 Consenso,Neutro ⚪,30.88,24.39,3.06,Baja 🟢 (30.9%)
GFNORTEO.MX,2026-08-18,2026-09-17,Meta Global RL,50% - 59.9%,Baja (-),Sube (+),Sube (+),Sube (+),Sube (+),Sube (+),Sin recomendación (< 60% Precisión),⚠️ ALERT: Mayoría Disiente (5/6),Optimista 🟢,28.46,25.55,2.67,Baja 🟢 (28.5%)
CUERVO.MX,2026-08-18,2026-09-17,"Empate c/ Red Base -> Estándar, Todo Portafolio",50% - 59.9%,Baja (-),Sube (+),Sube (+),Sube (+),Sube (+),Baja (-),Sin recomendación (< 60% Precisión),🟢 Consenso,Neutro ⚪,35.8,27.34,3.63,Media 🟡 (35.8%)
Uber,2026-08-18,2026-09-17,"Empate c/ Red Base -> Estándar, Cópulas, Todo Portafolio, LSTM",50% - 59.9%,Baja (-),Baja (-),Baja (-),Baja (-),Sube (+),Baja (-),Sin recomendación (< 60% Precisión),🟢 Consenso,Neutro ⚪,37.51,40.86,3.18,Media 🟡 (37.5%)
SPGI,2026-08-18,2026-09-17,"Red Base -> Estándar, Todo Portafolio, LSTM",50% - 59.9%,Baja (-),Sube (+),Sube (+),Baja (-),Baja (-),Sube (+),Sin recomendación (< 60% Precisión),🟢 Consenso,Neutro ⚪,29.03,28.41,2.14,Baja 🟢 (29.0%)
MFRISCOA-1.MX,2026-08-18,2026-09-17,Empate c/ Red Base -> Estándar,50% - 59.9%,Baja (-),Sube (+),Sube (+),Sube (+),Baja (-),Sube (+),Sin recomendación (< 60% Precisión),🟢 Consenso,Sin Datos ❓,64.67,56.12,4.41,Alta 🔴 (64.7%)
GMEXICOB.MX,2026-08-18,2026-09-17,Red Base -> Cópulas,50% - 59.9%,Baja (-),Sube (+),Baja (-),Sube (+),Sube (+),Sube (+),Sin recomendación (< 60% Precisión),🟢 Consenso,Neutro ⚪,36.11,29.04,3.29,Media 🟡 (36.1%)
GTLB,2026-08-18,2026-09-17,"Red Base -> Todo Portafolio, LSTM",50% - 59.9%,Baja (-),Baja (-),Baja (-),Baja (-),Baja (-),Sube (+),Sin recomendación (< 60% Precisión),🟢 Consenso,Optimista 🟢,59.91,59.39,4.87,Media 🟡 (59.9%)
AXTELCPO.MX,2026-08-18,2026-09-17,"Empate c/ Red Base -> Cópulas, LSTM",50% - 59.9%,Baja (-),Baja (-),Baja (-),Baja (-),Sube (+),Sube (+),Sin recomendación (< 60% Precisión),🟢 Consenso,Optimista 🟢,42.53,32.85,4.51,Media 🟡 (42.5%)
V,2026-08-18,2026-09-17,Red Base -> Cópulas,50% - 59.9%,Baja (-),Baja (-),Sube (+),Baja (-),Baja (-),Baja (-),Sin recomendación (< 60% Precisión),🟢 Consenso,Neutro ⚪,23.0,19.46,1.88,Baja 🟢 (23.0%)
OMAB,2026-08-18,2026-09-17,Red Base -> Estándar,50% - 59.9%,Baja (-),Baja (-),Baja (-),Baja (-),Baja (-),Sube (+),Sin recomendación (< 60% Precisión),🟢 Consenso,Neutro ⚪,32.24,25.97,3.05,Baja 🟢 (32.2%)
MA,2026-08-18,2026-09-17,Red Base -> LSTM,50% - 59.9%,Baja (-),Sube (+),Sube (+),Sube (+),Baja (-),Sube (+),Sin recomendación (< 60% Precisión),🟢 Consenso,Neutro ⚪,23.52,22.32,1.93,Baja 🟢 (23.5%)
DAL,2026-08-18,2026-09-17,Red Base -> Cópulas,50% - 59.9%,Baja (-),Sube (+),Sube (+),Sube (+),Baja (-),Sube (+),Sin recomendación (< 60% Precisión),🟢 Consenso,Neutro ⚪,46.61,32.92,3.44,Media 🟡 (46.6%)
ASUR,2026-08-18,2026-09-17,"Empate c/ Red Base -> Estándar, LSTM",50% - 59.9%,Baja (-),Baja (-),Baja (-),Sube (+),Baja (-),Sube (+),Sin recomendación (< 60% Precisión),🟢 Consenso,Neutro ⚪,47.35,49.56,4.55,Media 🟡 (47.4%)
PE&OLES.MX,2026-08-18,2026-09-17,Red Base -> Todo Portafolio,50% - 59.9%,Baja (-),Sube (+),Sube (+),Sube (+),Baja (-),Sube (+),Sin recomendación (< 60% Precisión),⚠️ ALERT: Mayoría Disiente (4/6),Sin Datos ❓,53.38,35.37,4.76,Media 🟡 (53.4%)
