Acción,Fecha Base,Fecha Proyección (+7 días hábiles),Ganador_Absoluto_Histórico,Rango_Precisión_Histórico,Pred_Meta_Global,Pred_Votación,Voto_Estándar,Voto_Cópulas,Voto_Todo_Portafolio,Voto_LSTM,Recomendación,Alerta_Divergencia,Sentimiento_Global,Volatilidad Histórica Anualizada (%),Volatilidad 30D Anualizada (%),Oscilación Diaria Promedio (ATR %),Nivel_Volatilidad
GMEXICOB.MX,2026-08-18,2026-08-27,"Red Base -> Cópulas, LSTM",60% - 69.9%,Baja (-),Sube (+),Sube (+),Sube (+),Sube (+),Sube (+),COMPRAR 🟢,🟢 Consenso,Neutro ⚪,36.11,29.04,3.29,Media 🟡 (36.1%)
SNPS,2026-08-18,2026-08-27,Red Base -> Cópulas,60% - 69.9%,Baja (-),Sube (+),Sube (+),Baja (-),Baja (-),Sube (+),VENDER 🔴,🟢 Consenso,Neutro ⚪,55.08,39.68,3.37,Media 🟡 (55.1%)
V,2026-08-18,2026-08-27,Empate c/ Red Base -> Estándar,60% - 69.9%,Baja (-),Baja (-),Baja (-),Baja (-),Baja (-),Sube (+),VENDER 🔴,🟢 Consenso,Neutro ⚪,23.0,19.46,1.88,Baja 🟢 (23.0%)
GAPB.MX,2026-08-18,2026-08-27,Red Base -> Todo Portafolio,60% - 69.9%,Baja (-),Sube (+),Sube (+),Sube (+),Sube (+),Sube (+),COMPRAR 🟢,🟢 Consenso,Optimista 🟢,29.99,25.4,3.29,Baja 🟢 (30.0%)
CHDRAUIB.MX,2026-08-18,2026-08-27,Red Base -> Cópulas,60% - 69.9%,Baja (-),Baja (-),Baja (-),Baja (-),Baja (-),Sube (+),VENDER 🔴,🟢 Consenso,Neutro ⚪,23.85,15.22,2.47,Baja 🟢 (23.9%)
AUTLANB.MX,2026-08-18,2026-08-27,Red Base -> Cópulas,60% - 69.9%,Baja (-),Sube (+),Sube (+),Sube (+),Baja (-),Baja (-),COMPRAR 🟢,🟢 Consenso,Sin Datos ❓,32.66,19.47,2.59,Baja 🟢 (32.7%)
AXTELCPO.MX,2026-08-18,2026-08-27,Empate c/ Red Base -> LSTM,50% - 59.9%,Baja (-),Baja (-),Baja (-),Baja (-),Sube (+),Sube (+),Sin recomendación (< 60% Precisión),⚠️ ALERT: Mayoría Disiente (4/6),Optimista 🟢,42.53,32.85,4.51,Media 🟡 (42.5%)
VRT,2026-08-18,2026-08-27,Meta Global RL,50% - 59.9%,Baja (-),Sube (+),Sube (+),Sube (+),Sube (+),Sube (+),Sin recomendación (< 60% Precisión),⚠️ ALERT: Mayoría Disiente (5/6),Neutro ⚪,71.66,78.17,5.23,Alta 🔴 (71.7%)
META,2026-08-18,2026-08-27,"Empate c/ Red Base -> Estándar, Cópulas",50% - 59.9%,Baja (-),Sube (+),Baja (-),Sube (+),Sube (+),Sube (+),Sin recomendación (< 60% Precisión),⚠️ ALERT: Mayoría Disiente (4/6),Neutro ⚪,40.05,48.71,2.73,Media 🟡 (40.0%)
FRSH,2026-08-18,2026-08-27,"Red Base -> Estándar, Todo Portafolio",50% - 59.9%,Baja (-),Baja (-),Baja (-),Baja (-),Sube (+),Baja (-),Sin recomendación (< 60% Precisión),🟢 Consenso,Optimista 🟢,47.57,53.31,3.99,Media 🟡 (47.6%)
BOLSAA.MX,2026-08-18,2026-08-27,"Empate c/ Red Base -> Estándar, Cópulas",50% - 59.9%,Baja (-),Sube (+),Sube (+),Sube (+),Sube (+),Sube (+),Sin recomendación (< 60% Precisión),🟢 Consenso,Optimista 🟢,28.74,26.99,2.84,Baja 🟢 (28.7%)
BBAJIOO.MX,2026-08-18,2026-08-27,Red Base -> Estándar,50% - 59.9%,Baja (-),Sube (+),Sube (+),Sube (+),Sube (+),Baja (-),Sin recomendación (< 60% Precisión),🟢 Consenso,Neutro ⚪,30.88,24.39,3.06,Baja 🟢 (30.9%)
Uber,2026-08-18,2026-08-27,"Red Base -> Estándar, Cópulas",50% - 59.9%,Baja (-),Baja (-),Baja (-),Baja (-),Baja (-),Sube (+),Sin recomendación (< 60% Precisión),🟢 Consenso,Neutro ⚪,37.51,40.86,3.18,Media 🟡 (37.5%)
ALPEKA.MX,2026-08-18,2026-08-27,Red Base -> LSTM,50% - 59.9%,Baja (-),Baja (-),Baja (-),Baja (-),Sube (+),Sube (+),Sin recomendación (< 60% Precisión),⚠️ ALERT: Mayoría Disiente (4/6),Optimista 🟢,40.57,20.34,3.9,Media 🟡 (40.6%)
RGTI,2026-08-18,2026-08-27,"Red Base -> Estándar, Cópulas",50% - 59.9%,Baja (-),Baja (-),Sube (+),Baja (-),Baja (-),Baja (-),Sin recomendación (< 60% Precisión),⚠️ ALERT: Mayoría Disiente (5/6),Neutro ⚪,128.95,87.85,9.36,Alta 🔴 (128.9%)
FRCOY,2026-08-18,2026-08-27,Empate c/ Red Base -> Estándar,50% - 59.9%,Baja (-),Sube (+),Sube (+),Sube (+),Sube (+),Sube (+),Sin recomendación (< 60% Precisión),🟢 Consenso,Optimista 🟢,34.18,39.35,2.69,Baja 🟢 (34.2%)
ASUR,2026-08-18,2026-08-27,Empate c/ Red Base -> Estándar,50% - 59.9%,Baja (-),Baja (-),Baja (-),Sube (+),Baja (-),Sube (+),Sin recomendación (< 60% Precisión),🟢 Consenso,Neutro ⚪,47.35,49.56,4.55,Media 🟡 (47.4%)
ARM,2026-08-18,2026-08-27,Meta Global RL,50% - 59.9%,Baja (-),Sube (+),Sube (+),Sube (+),Sube (+),Sube (+),Sin recomendación (< 60% Precisión),⚠️ ALERT: Mayoría Disiente (5/6),Neutro ⚪,72.1,88.92,5.17,Alta 🔴 (72.1%)
MFRISCOA-1.MX,2026-08-18,2026-08-27,Red Base -> Todo Portafolio,50% - 59.9%,Baja (-),Sube (+),Sube (+),Sube (+),Sube (+),Sube (+),Sin recomendación (< 60% Precisión),🟢 Consenso,Sin Datos ❓,64.67,56.12,4.41,Alta 🔴 (64.7%)
CEMEXCPO.MX,2026-08-18,2026-08-27,Empate c/ Red Base -> Estándar,50% - 59.9%,Baja (-),Sube (+),Sube (+),Sube (+),Sube (+),Sube (+),Sin recomendación (< 60% Precisión),🟢 Consenso,Neutro ⚪,33.61,25.31,2.88,Baja 🟢 (33.6%)
DAL,2026-08-18,2026-08-27,Empate c/ Red Base -> Estándar,50% - 59.9%,Baja (-),Sube (+),Sube (+),Sube (+),Baja (-),Baja (-),Sin recomendación (< 60% Precisión),🟢 Consenso,Neutro ⚪,46.61,32.92,3.44,Media 🟡 (46.6%)
