Acción,Fecha Base,Ganador_Absoluto_Histórico,Rango_Precisión_Histórico,Recomendación,Alerta_Divergencia,Sentimiento_Global,Nivel_Volatilidad,Volatilidad Histórica Anualizada (%),Volatilidad 30D Anualizada (%),Oscilación Diaria Promedio (ATR %)
ASUR,2026-08-18,Red Base -> LSTM,>= 90%,COMPRAR 🟢,🟢 Consenso,Neutro ⚪,Media 🟡 (47.4%),47.35,49.56,4.55
Uber,2026-08-18,Red Base -> LSTM,>= 90%,COMPRAR 🟢,🟢 Consenso,Neutro ⚪,Media 🟡 (37.5%),37.51,40.86,3.18
CEMEXCPO.MX,2026-08-18,Red Base -> LSTM,>= 90%,VENDER 🔴,🟢 Consenso,Neutro ⚪,Baja 🟢 (33.6%),33.61,25.31,2.88
BOLSAA.MX,2026-08-18,Red Base -> LSTM,>= 90%,COMPRAR 🟢,🟢 Consenso,Optimista 🟢,Baja 🟢 (28.7%),28.74,26.99,2.84
BBAJIOO.MX,2026-08-18,Red Base -> LSTM,>= 90%,VENDER 🔴,🟢 Consenso,Neutro ⚪,Baja 🟢 (30.9%),30.88,24.39,3.06
META,2026-08-18,Red Base -> LSTM,>= 90%,VENDER 🔴,⚠️ ALERT: Mayoría Disiente (4/6),Neutro ⚪,Media 🟡 (40.0%),40.05,48.71,2.73
MELI,2026-08-18,Red Base -> LSTM,>= 90%,VENDER 🔴,🟢 Consenso,Optimista 🟢,Media 🟡 (39.2%),39.19,34.85,3.24
PE&OLES.MX,2026-08-18,Red Base -> LSTM,>= 90%,VENDER 🔴,🟢 Consenso,Sin Datos ❓,Media 🟡 (53.4%),53.38,35.37,4.76
AXTELCPO.MX,2026-08-18,Red Base -> LSTM,>= 90%,COMPRAR 🟢,🟢 Consenso,Optimista 🟢,Media 🟡 (42.5%),42.53,32.85,4.51
GFNORTEO.MX,2026-08-18,Red Base -> LSTM,>= 90%,COMPRAR 🟢,🟢 Consenso,Optimista 🟢,Baja 🟢 (28.5%),28.46,25.55,2.67
